topicID,lang,name,typeID,layer,description,version,url
ART0,en,Art,0,1,"Creative human expression across visual, auditory and performance media; the umbrella discipline for the fine arts",1,https://en.wikipedia.org/wiki/Art_history
BOL0,en,Biology,0,1,Science that studies life,1,https://en.wikipedia.org/wiki/Biochemistry
CHE0,en,Chemistry,0,1,Scientific field of study – study of properties and behaviours of substances.,1,https://en.wikipedia.org/wiki/Chaology
COS0,en,Computer science,0,1,Study of computation – study of processes that interact with data.,1,https://en.wikipedia.org/wiki/Codicology
CUS0,en,Cultural studies,0,1,"Interdisciplinary analysis of culture, power and identity in everyday life and media",1,https://en.wikipedia.org/wiki/Cryptography
ETH0,en,Ethics,0,1,"Philosophical study of moral values, principles and decision-making",1,https://en.wikipedia.org/wiki/Epidemiology
GOG0,en,Geography,0,1,Study of lands and inhabitants of Earth – study of surface of the earth and its inhabitants,1,https://en.wikipedia.org/wiki/Gnotobiology
HSR0,en,History,0,1,Systematic study and interpretation of past events and human activities,1,https://en.wikipedia.org/wiki/Hydrology
LAW0,en,Law,0,1,System of rules created and enforced through social or governmental institutions to regulate behaviour,1,https://en.wikipedia.org/wiki/Kalology
LIN0,en,Linguistics,0,1,Scientific study of language,1,https://en.wikipedia.org/wiki/Limacology
LIT0,en,Literature,0,1,Study and analysis of written and oral texts as artistic and cultural artefacts,1,https://en.wikipedia.org/wiki/Limacology
LOG0,en,Logics,0,1,Study of correct reasoning,1,https://en.wikipedia.org/wiki/Limacology
MAT0,en,Mathematics,0,1,"Area of knowledge – study of magnitude, number, and forms",1,https://en.wikipedia.org/wiki/Mammalogy
MST0,en,Music theory,0,1,"Analytical study of music’s structures, systems and compositional techniques",1,https://en.wikipedia.org/wiki/Museology
PHI0,en,Philosophy,0,1,Study of general and fundamental questions – science of knowledge or wisdom,1,https://en.wikipedia.org/wiki/Public_health
PYS0,en,Physics,0,1,Scientific field of study,1,https://en.wikipedia.org/wiki/Pyrography
PYL0,en,Psychology,0,1,Study of mental functions and behaviors,1,https://en.wikipedia.org/wiki/Pyrography
ABI1,en,Abiology,1,2,"Study of abiotic matter and physicochemical processes that occur independently of life, including those that may have preceded its origin",1,
ABI2,en,Abiophysiology,1,2,"Investigation of life-like physicochemical processes in non-living systems, especially as models for physiology",1,
ACA1,en,Acanthology,1,2,Branch of zoology that examines spined or spine-bearing organisms (notably echinoids) and the taxonomic significance of their spines,1,
ACO1,en,Acoustics,1,2,Branch of physics involving mechanical waves – the branch of physics studying the properties of sound.,1,
ACT1,en,Actinobiology,1,2,Study of effects of radiation on living things – synonymous with radiobiology.,1,https://en.wikipedia.org/wiki/Actinobiology
AED1,en,Aerodynamics,1,2,Branch of dynamics concerned with studying the motion of air,1,https://en.wikipedia.org/wiki/Aerodynamics
AES1,en,Aerostatics,1,2,Study of gases that are not in motion,1,https://en.wikipedia.org/wiki/Aerostatics
AES2,en,Aesthetics,1,2,"Philosophical field that analyses beauty, taste and the creation or appreciation of art",1,https://en.wikipedia.org/wiki/Aesthetics
AGN1,en,Agnoiology,1,2,"Epistemological study of the varieties, sources and classifications of ignorance and the unknown",1,https://en.wikipedia.org/wiki/Agnoiology
AGO1,en,Agonistics,1,2,Chemical which binds to and activates a biochemical receptor,1,https://en.wikipedia.org/wiki/Agonistics
ALG1,en,Algebra,1,2,Branch of mathematics,1,https://en.wikipedia.org/wiki/Algebra
API1,en,Apiology,1,2,Scientific study of bees,1,https://en.wikipedia.org/wiki/Art_history
AHS1,en,Art history,1,2,"Scholarly study of artworks, artists and artistic movements in their cultural and historical contexts",1,https://en.wikipedia.org/wiki/Agonistics
ASN0,en,Astronomy,0,2,Scientific study of celestial objects,1,https://en.wikipedia.org/wiki/Astronomy
ATS1,en,Atmospheric Science,1,2,Inter-disciplinary science that investigates the physical and chemical processes of Earth’s atmosphere,1,https://en.wikipedia.org/wiki/Aerology
AUT1,en,Autology,1,2,Word that expresses a property it also possesses – scientific study of oneself.,1,https://en.wikipedia.org/wiki/Autology
AUT2,en,Automata theory,1,2,Study of abstract machines and automata,1,https://en.wikipedia.org/wiki/Automata_theory
BAR1,en,Barology,1,2,study of gravitational force.,1,https://en.wikipedia.org/wiki/Automata_theory
BOC1,en,Biochemistry,1,2,Study of chemical processes in living organisms,1,https://en.wikipedia.org/wiki/Biochemistry
BOP1,en,Biophysics,1,2,Study of biological systems using methods from the physical sciences – study of physics of biological phenomena.,1,https://en.wikipedia.org/wiki/Biophysics
BOT1,en,Botany,1,2,Study of plant life,1,https://en.wikipedia.org/wiki/Botany
CHA1,en,Chaology,1,2,Field of mathematics and science based on non-linear systems and initial conditions,1,https://en.wikipedia.org/wiki/Chaology
CHT1,en,Chaos theory,1,2,Field of mathematics and science based on non-linear systems and initial conditions,1,https://en.wikipedia.org/wiki/Colorimetry
CHO1,en,Chorology (geography),1,2,"Study of regional causal relationships between physical geographic phenomena (e.g., how topography, climate and soils interact within a delimited area)",1,https://en.wikipedia.org/wiki/Chaology
CLM1,en,Classical mechanics,1,2,Description of large objects' physics – study of motion of macroscopic objects.,1,https://en.wikipedia.org/wiki/Climatology
